# The engine refusal table.
# GENERATED by scripts/gen-engine-messages.py; reviewed as a git diff and
# committed. Never hand-add a row: the pytest gate
# (tests/test_engine_messages.py) re-sweeps the engine and fails when this
# file diverges from what src/engine/*.py actually raises.
#
# Engine messages stay ENGLISH at the engine. This table is how the RENDERER
# recognizes one: `message` is matched verbatim (kind=exact) or as a template
# whose {{name}} placeholders capture the interpolated values (kind=pattern),
# and `key` names the catalog entry (engine.<key>) that renders it in the UI
# language. A message NOT in this table passes through verbatim — nothing is
# ever swallowed. Keys are STABLE: rewording a message keeps its key.
key	kind	modules	message
batch_ocr.destinationMustOutsideSource	exact	batch_ocr	The destination must be outside the source folder -- choose a separate folder for the searchable copies.
batch_ocr.file	pattern	batch_ocr	not a file: {{src}}
batch_ocr.folderMustOutsideDestination	pattern	batch_ocr	The {{label}} folder must be outside the destination folder.
batch_ocr.folderMustOutsideSource	pattern	batch_ocr	The {{label}} folder must be outside the source folder.
batch_ocr.moveAbortedShortCopy	pattern	batch_ocr	move aborted: short copy to {{target}} -- the original was left in place
batch_ocr.placeModeCannotAlso	exact	batch_ocr,guided_actions,preflight_sweep	In-place mode cannot also move processed originals -- the processed file IS the original.
batch_ocr.placeModeTakesDestination	exact	batch_ocr,guided_actions,preflight_sweep	In-place mode takes no destination -- the originals are replaced.
batch_ocr.sourceDestinationSameFile	exact	batch_ocr	source and destination are the same file
batch_ocr.sourceFolderFound	pattern	batch_ocr,create_pdf_folders,guided_actions,preflight_sweep	Source folder not found: {{source}}
budget.timeBudgetNeedsPositive	exact	budget	a time budget needs a positive floor
check.fileFound	pattern	check,document_health,rebuild,recognize,recover,repair	File not found: {{file}}
clause_map.checkCitesClause	pattern	clause_map	No check cites a clause of {{part}}.
color_spaces.expectedNumberGotProcedure	exact	color_spaces	expected number, got procedure
comment_summary.commentColumnDoesFit	pattern	comment_summary	the comment column does not fit the sheet: {{gutter}}
comment_summary.commentColumnPlacement	pattern	comment_summary	not a comment column placement: {{placement}}
comment_summary.commentColumnWidthNumber	exact	comment_summary	the comment column width is a number of points
comment_summary.commentFilter	pattern	comment_summary	not a comment filter: {{names}}
comment_summary.commentFilterSetNamed	exact	comment_summary	a comment filter is a set of named conditions
comment_summary.commentSubtypeSummaryFilter	pattern	comment_summary	not a comment subtype the summary can filter on: {{subtypes}}
comment_summary.commentSummaryMode	pattern	comment_summary	not a comment summary mode: {{mode}}
comment_summary.documentCommentsSummarize	exact	comment_summary	this document has no comments to summarize
comment_summary.pageRangeSummaryRead	pattern	comment_summary	not a page range the summary can read: {{pages}}
comment_summary.paperSizeSummaryUse	pattern	comment_summary	not a paper size this summary can use: {{paper}}
comment_summary.summarySheetSizeWidth	exact	comment_summary	a summary sheet size is a width and a height in points
comment_summary.waySortComments	pattern	comment_summary	not a way to sort comments: {{sort}}
compare.binaryPpmP	pattern	compare	Not a binary PPM (P6): {{v0}}
compare.dpiMustBetween	exact	compare	dpi must be between 36 and 300.
compare.ghostscriptRenderFailed	pattern	compare	Ghostscript render failed for {{v0}}: {{v1}}
compare.malformedPpmDataExpected	pattern	compare	Malformed PPM data: expected exactly {{body_len}} pixel bytes after the header, found {{v1}}: {{v2}}
compare.malformedPpmHeaderMissing	pattern	compare	Malformed PPM header (missing separator after maxval): {{v0}}
compare.pageStructureLooksDamaged	pattern	compare	Page structure of {{name}} looks damaged: its page tree lists {{structural}} page(s) but Ghostscript could only render {{rendered}} — a comparison would be silently incomplete. Repair the file first.
compare.toleranceMustBetween	exact	compare	tolerance must be between 0 and 255.
compare.unsupportedPpmMaxvalExpected	pattern	compare	Unsupported PPM maxval {{maxval}} (expected 255)
compress.ghostscriptFailed	pattern	compress,distill,image_export	Ghostscript failed: {{v0}}
compress.mrcCompressionDpiSetting	exact	compress	MRC compression has no DPI setting — the text stays at the scan's own resolution, which is the point of it. Choose a preset instead.
content_crop.marginMustNumberGot	pattern	content_crop	margin must be a number, got {{margin}}
content_crop.marginMustZeroMore	exact	content_crop	margin must be zero or more points
content_crop.pageSelectionContentCrop	exact	content_crop	no page in the selection has content to crop to
create_pdf.blankPageNeedsPositive	exact	create_pdf	a blank page needs a positive width and height
create_pdf.blankPagePagesSelect	exact	create_pdf	a blank page has no pages to select a range from
create_pdf.createPdfCannotConvert	pattern	create_pdf	Create PDF cannot convert {{v0}} (accepted: {{v1}})
create_pdf.createPdfNeedsLeast	exact	create_pdf	Create PDF needs at least one source
create_pdf.everySourceMustObject	exact	create_pdf	every source must be an object with a path or a kind
create_pdf.everySourceNeedsPath	exact	create_pdf	every source needs a path (or the kind 'blank')
create_pdf.heicHeifImagesNeed	pattern	create_pdf,watermark	HEIC/HEIF images need the HEIF decoder plugin, which this runtime does not have: {{src_path}}
create_pdf.imageContainsFrames	pattern	create_pdf	the image contains no frames: {{src_path}}
create_pdf.imageDpiDefaultMust	exact	create_pdf	the image DPI default must be a positive number
create_pdf.imageFileEmpty	pattern	create_pdf	the image file is empty: {{src_path}}
create_pdf.imageFileFound	pattern	create_pdf	image file not found: {{src_path}}
create_pdf.marginMustNumberPoints	exact	create_pdf	the margin must be a number of points
create_pdf.nothingCouldConvertedThere	exact	create_pdf	nothing could be converted, so there is no PDF to write
create_pdf.outputOneSourcesChoose	exact	create_pdf	the output is one of the sources — choose another name
create_pdf.pageRangeListPages	pattern	create_pdf	the page range {{spec}} for {{label}} is not a list of pages or ranges like '1-3,5'
create_pdf.pageRangeSelectsPages	pattern	create_pdf	the page range {{spec}} selects no pages of {{label}} (it has {{v2}})
create_pdf.sourcesProducedPagesPdf	exact	create_pdf	the sources produced no pages, so no PDF was written
create_pdf.unknownOrientation	pattern	create_pdf	unknown orientation {{orientation}} ({{v1}})
create_pdf.unknownPageSize	pattern	create_pdf	unknown page size {{page_size}} ({{v1}})
create_pdf.unknownUnsupportedRefuseSkip	pattern	create_pdf	unknown on_unsupported {{on_unsupported}} (refuse, skip)
create_pdf.unreadableImage	pattern	create_pdf	unreadable image: {{src_path}} ({{exc}})
create_pdf_folders.destinationFolderRequired	exact	create_pdf_folders	A destination folder is required.
create_pdf_folders.destinationMustOutsideSource	exact	create_pdf_folders	The destination must be outside the source folder -- choose a separate folder for the assembled documents.
create_pdf_folders.unknownSourceSet	pattern	create_pdf_folders	unknown source set {{sources}} ({{v1}})
csc.credentialUsesExplicitAuthorization	exact	csc	This credential uses explicit authorization, which requires this application to collect a PIN or one-time password and send it to the signing service. This application does not collect or transmit authentication secrets. Use a credential authorized through the provider's own sign-in instead.
csc.credentialUsesUnsupportedAuthorization	pattern	csc	This credential uses an unsupported authorization mode ({{v0}}).
csc.mustUseHttpsRefusing	pattern	csc	The {{what}} must use HTTPS. Refusing to send signing credentials to a {{v1}} address.
csc.sendingWholeDocumentSigning	exact	csc	Sending a whole document to a signing service is not supported. Only the document's digest is ever transmitted.
csc.signatureCouldNotBeChecked	exact	csc	The signature the signing service returned could not be checked against this credential's own certificate. Nothing was signed.
csc.signatureNotVerifiedAgainstCredential	exact	csc	The signature the signing service returned does not verify against this credential's own certificate. Nothing was signed.
csc.signingServiceAuthorizationExpired	exact	csc	The signing service authorization has expired and cannot be renewed without signing in again.
csc.signingServiceBeenAuthorized	exact	csc	The signing service has not been authorized yet.
csc.signingServiceCouldReached	pattern	csc	The signing service at {{v0}} could not be reached.
csc.signingServiceDidPresent	pattern	csc	The signing service at {{v0}} did not present a trusted TLS certificate.
csc.signingServiceDidRespond	pattern	csc	The signing service at {{v0}} did not respond in time.
csc.signingServiceNeedsOauth	exact	csc	The signing service needs an OAuth client ID registered with that provider.
csc.signingServicePointsAuthorization	pattern	csc	The signing service at {{v0}} points its authorization at {{v1}}. Refusing to authorize against a different host.
csc.signingServiceRedirectedRefusing	pattern	csc	The signing service at {{v0}} redirected to {{there}}. Refusing to follow a redirect while carrying signing credentials.
csc.signingServiceReturnedAccess	exact	csc	The signing service returned no access token.
csc.signingServiceReturnedCertificate	exact	csc,csc_signer	The signing service returned no certificate for this credential.
csc.signingServiceReturnedDifferent	exact	csc	The signing service returned a different number of signatures than it was asked for.
csc.signingServiceReturnedMalformed	exact	csc	The signing service returned a malformed ECDSA signature.
csc.signingServiceReturnedOversized	pattern	csc	The signing service at {{v0}} returned an oversized response.
csc.signingServiceReturnedResponse	pattern	csc	The signing service at {{v0}} returned a response that is not valid CSC JSON.
csc.signingServiceReturnedSignature	exact	csc	The signing service returned no signature authorization.
csc.signingServiceReturnedUnreadable	exact	csc	The signing service returned an unreadable credential list.
csc.signingServiceReturnedUnreadable2	pattern	csc	The signing service returned an unreadable {{what}}.
csc.signingServiceSpeaksCsc	pattern	csc	The signing service speaks CSC API {{specs}}; this application speaks {{SPEC_VERSION}}.
csc.signingServiceWillAuthorize	exact	csc	The signing service will not authorize that many signatures for this credential in one operation.
csc.tlsCertificateVerificationCannot	exact	csc	TLS certificate verification cannot be disabled for a signing service.
csc.usableWebAddress	pattern	csc	The {{what}} is not a usable web address.
csc_signer.signatureCannotRequestedSigning	pattern	csc_signer	A {{algorithm}} signature cannot be requested from a signing service.
csc_signer.signingServiceAuthorizationExpired	exact	csc_signer	The signing service authorization expired. Sign in to the signing service again and repeat the signature.
csc_signer.signingServiceCannotAsked	pattern	csc_signer	A signing service cannot be asked for a {{digest_algorithm}} digest.
csc_signer.signingServiceNeedsCredential	exact	csc_signer	A signing service needs the credential to sign with.
csc_signer.signingServiceNeedsOauth	exact	csc_signer	A signing service needs the OAuth client ID you registered with that provider.
csc_signer.signingServiceNeedsWeb	exact	csc_signer	A signing service needs its web address.
csc_signer.signingServiceSignsThrough	exact	csc_signer	This signing service signs in through a browser, which a command-line or scheduled run cannot do. Register the provider for the client-credentials grant to sign without a person present.
csc_signer.unknownSigningServiceAuthorization	pattern	csc_signer	Unknown signing-service authorization ({{grant}}).
derived_nav.documentTaggedHeadingsBuild	exact	derived_nav	This document is not tagged, so it has no headings to build bookmarks from. Tag it first — automatically, or in the Tags panel.
derived_nav.headingDepthMustNumber	pattern	derived_nav	heading depth must be a number from 1 to {{MAX_LEVEL}}
derived_nav.headingsFoundStructureTree	exact	derived_nav	No headings found in the structure tree — nothing to build bookmarks from.
derived_nav.modeMustReplaceAppend	exact	derived_nav	mode must be "replace" or "append"
distill.alreadyPdfDistillingConverts	exact	distill	this is already a PDF — distilling converts PostScript; use Repair (Tier 2 rebuild) to re-render a PDF
distill.ghostscriptProducedPdfPages	exact	distill	Ghostscript produced a PDF with no pages
distill.ghostscriptProducedUnreadablePdf	pattern	distill	Ghostscript produced an unreadable PDF: {{exc}}
distill.inputFileFound	pattern	create_pdf,distill,office_export,soffice,trapping	input file not found: {{file}}
distill.outputMustDifferentFile	exact	distill	output must be a different file from the input
distill.postscriptFileFileEmpty	exact	distill	not a PostScript file (the file is empty)
distill.postscriptFileMissingHeader	exact	distill	not a PostScript file (missing the '%!' header)
distill.postscriptJobDeclaresPjl	pattern	distill	not a PostScript job (it declares @PJL ENTER LANGUAGE={{declared_language}})
distill.postscriptJobPayloadZip	exact	distill	not a PostScript job (the payload is a ZIP/XPS package)
distill.postscriptJobPjlEnvelope	exact	distill	not a PostScript job (the PJL envelope carries no payload)
distill.unknownPresetScreenEbook	pattern	distill	unknown preset {{preset}} (screen, ebook, printer, prepress, default)
doc_properties.directionMustLR	pattern	doc_properties	direction must be 'L2R' or 'R2L', got {{direction}}
doc_properties.documentCertifiedAllowChanges	exact	doc_properties	this document is certified to allow no changes, so setting the document language would produce a file that reports as illegally modified
doc_properties.documentCertifiedAllowChanges2	exact	doc_properties	this document is certified to allow no changes, so setting the document title would produce a file that reports as illegally modified
doc_properties.documentCertifiedAllowChanges3	exact	doc_properties	this document is certified to allow no changes, so setting the tab order would produce a file that reports as illegally modified
doc_properties.documentSOpenAction	exact	doc_properties	the document's open action is a script, not a destination; it was left unchanged
doc_properties.documentSignedSettingDocument	exact	doc_properties	this document is signed and setting the document language invalidates its signatures -- the run must state that signed documents are included before it will touch one
doc_properties.documentSignedSettingDocument2	exact	doc_properties	this document is signed and setting the document title invalidates its signatures -- the run must state that signed documents are included before it will touch one
doc_properties.documentSignedSettingTab	exact	doc_properties	this document is signed and setting the tab order invalidates its signatures -- the run must state that signed documents are included before it will touch one
doc_properties.nameLanguageExampleEn	exact	doc_properties	Name the language, for example en-GB.
doc_properties.openPageOutRange	pattern	doc_properties	open_page {{page_number}} is out of range (1-{{total}})
doc_properties.pageHereCarriesAnnotation	exact	doc_properties	No page here carries an annotation, so there is no tab order to declare: /Tabs on a page with nothing to order says nothing.
doc_properties.pageLayoutMustDefault	pattern	doc_properties	page_layout must be 'default' or one of {{v0}}, got {{page_layout}}
doc_properties.pageModeMustDefault	pattern	doc_properties	page_mode must be 'default' or one of {{v0}}, got {{page_mode}}
doc_properties.tabOrderMustS	pattern	doc_properties	tab order must be S, R or C, got {{order}}
doc_properties.titleDisplaySettingWrite	exact	doc_properties	no title and no display setting to write
doc_properties.trappedMustOneGot	pattern	doc_properties	trapped must be one of {{v0}}, got {{trapped}}
doc_properties.wellFormedLanguageTag	pattern	doc_properties	"{{text}}" is not a well-formed language tag: "x-" needs at least one private-use subtag after it.
doc_properties.wellFormedLanguageTag2	pattern	doc_properties	"{{text}}" is not a well-formed language tag: it has an empty subtag (two hyphens in a row, or a hyphen at an end).
doc_properties.wellFormedLanguageTag3	pattern	doc_properties	"{{text}}" is not a well-formed language tag: the extension "{{singleton}}" carries no subtag.
doc_properties.wellFormedLanguageTag4	pattern	doc_properties	"{{text}}" is not a well-formed language tag: the language subtag "{{head}}" must be two to eight letters, as in en, de or haw.
doc_properties.wellFormedLanguageTag5	pattern	doc_properties	"{{text}}" is not a well-formed language tag: the subtag "{{part}}" is longer than eight characters.
doc_properties.wellFormedLanguageTag6	pattern	doc_properties	"{{text}}" is not a well-formed language tag: the subtag "{{part}}" may contain only letters and digits.
doc_properties.wellFormedLanguageTag7	pattern	doc_properties	"{{text}}" is not a well-formed language tag: the subtag "{{v1}}" is not in a position a language tag allows.
doc_properties.zoomMustOneGot	pattern	doc_properties	zoom must be one of {{v0}}, got {{zoom}}
doc_properties.zoomPercentMustBetween	pattern	doc_properties	zoom_percent must be between {{minimum}} and {{maximum}}, got {{zoom_percent}}
doc_properties.zoomPercentNeedsZoom	exact	doc_properties	zoom 'percent' needs a zoom_percent
document_js.duplicateDocumentScriptName	pattern	document_js	Duplicate document-script name: {{name}}.
document_js.eachDocumentScriptMust	exact	document_js	Each document script must be an object with name and js.
document_js.eachDocumentScriptNeeds	exact	document_js	Each document script needs a non-empty name.
encrypt.documentAlreadyAllowsAssistive	exact	encrypt	This document already allows assistive technology to read it.
encrypt.documentEncryptedNothingStopping	exact	encrypt	This document is not encrypted, so nothing is stopping assistive technology from reading it.
encrypt.documentSPermissionsHeld	exact	encrypt	This document's permissions are held by an owner password, which is needed to change them. Open it with that password first.
enhance_scan.backgroundStrengthMustGot	pattern	enhance_scan	the background strength must be 0-1, got {{strength}}
enhance_scan.enhancementAskedTurnDeskew	exact	enhance_scan	no enhancement was asked for — turn on deskew, despeckle, background removal or orientation detection
enhance_scan.jpegQualityMustGot	pattern	enhance_scan	the JPEG quality must be 1-100, got {{quality}}
enhance_scan.maximumSkewMustDegrees	pattern	enhance_scan	the maximum skew must be 0.1-{{MAX_SKEW_LIMIT}} degrees, got {{max_skew}}
enhance_scan.minimumSkewMustDegrees	pattern	enhance_scan	the minimum skew must be 0-{{max_skew}} degrees, got {{min_skew}}
enhance_scan.ocrEngineAvailableTesseract	pattern	enhance_scan	The OCR engine is not available: no tesseract.exe at {{v0}}. Turn off orientation detection or run scripts/bundle-tesseract.ps1.
enhance_scan.orientationConfidenceFloorCannot	pattern	enhance_scan	the orientation confidence floor cannot be negative, got {{confidence}}
enhance_scan.pageSelected	exact	enhance_scan	no page was selected
enhance_scan.selectedPageDocumentScanned	exact	enhance_scan	no selected page in this document is a scanned image — scan enhancement has nothing to work on
enhance_scan.speckGapMustInches	pattern	enhance_scan	the speck gap must be 0-0.5 inches, got {{gap_in}}
enhance_scan.speckSizeMustInches	pattern	enhance_scan	the speck size must be 0.001-0.05 inches, got {{size_in}}
fieldmdp.signatureFieldCannotLock	pattern	fieldmdp	Signature field "{{own_name}}" cannot lock itself. A field lock names the form fields that may no longer change, not the field being signed.
flattener.flatteningRegionDpiWould	pattern	flattener	Flattening region {{region_number}} at {{dpi}} dpi would need {{width}}x{{height}} pixels.
flattener.ghostscriptRegionRasterizationFailed	pattern	flattener	Ghostscript region rasterization failed: {{detail}}
flattener.pageMediaBox	exact	flattener,object_inspector	This page has no media box.
flattener.pageNamesGraphicsState	pattern	flattener	Page {{page}} names a graphics state this engine cannot read, so whether it paints transparency is unknown.
flattener.pagePlacesFormXobject	pattern	flattener	Page {{page}} places a form XObject this engine cannot read, so whether it paints transparency is unknown.
flattener.pagePlacesFormXobject2	pattern	flattener	Page {{page}} places a form XObject whose /BBox cannot be measured, so the area it covers is unknown.
font_embed.descendantFontMissing	pattern	font_embed	{{display}}: its descendant font is missing
font_embed.embedMissingFontsUnknown	pattern	font_embed	embed_missing_fonts: unknown font source(s) {{v0}} (it reads: {{v1}}).
font_embed.engineEmbedsGlyphIndexed	pattern	font_embed	{{display}}: this engine embeds a glyph-indexed CID font, and the document declares a {{v1}} font
font_embed.installedFaceMatchesFallback	pattern	font_embed	{{display}}: no installed face matches it and no fallback fonts directory was given to substitute from
font_embed.installedFaceMatchesFixup	pattern	font_embed	{{display}}: no installed face matches it, and this fixup embeds the face a document names or nothing at all
font_embed.substituteFaceCouldRead	pattern	font_embed	{{display}}: the substitute face could not be read
font_embed.typeFontCarriesGlyphs	pattern	font_embed	{{display}}: a Type 3 font carries its glyphs as drawings and has no program to embed
font_fallback.bundledFallbackFontFound	pattern	font_fallback	bundled fallback font not found: {{font_path}}
font_fallback.bundledMongolianFontExpress	pattern	font_fallback	no bundled Mongolian font can express {{text}}
font_fallback.bundledRightLeftFont	pattern	font_fallback	no bundled right-to-left font can express {{text}}
font_fallback.bundledVerticalFontExpress	pattern	font_fallback	no bundled vertical font can express {{text}}
font_fallback.fallbackFontCannotExpress	pattern	font_fallback	the fallback font cannot express {{ch}}
font_fallback.fallbackFontFound	pattern	font_fallback	no fallback font found in {{font_path}}
font_fallback.fallbackFontLostGlyph	pattern	font_fallback	the fallback font lost glyph {{g}} while subsetting
font_fallback.fontCannotCarryBoth	pattern	font_fallback	this font cannot carry both spellings of one glyph ({{prior}} and {{spells}})
font_fallback.fontVerticalMetricsPick	exact	font_fallback,text_authoring,text_paragraphs	that font has no vertical metrics — pick one that does
font_fallback.libertinusSerifFeatureFont	pattern	font_fallback	Libertinus Serif (feature font) not found in {{font_path}}
font_fallback.textEmbed	exact	font_fallback	no text to embed
font_fallback.verticalFallbackFontCannot	pattern	font_fallback	the vertical fallback font cannot express {{ch}}
form_authoring.bundledVerticalFontStates	exact	form_authoring	the bundled vertical font states no PostScript name, so no font descriptor can name it
form_authoring.documentCertifiedAllowChanges	exact	form_authoring	this document is certified to allow no changes, so adding form fields would produce a file that reports as illegally modified
form_authoring.documentCertifiedAllowChanges2	exact	form_authoring	this document is certified to allow no changes, so setting a field lock would produce a file that reports as illegally modified
form_authoring.documentCertifiedAllowChanges3	exact	form_authoring	this document is certified to allow no changes, so setting a field action would produce a file that reports as illegally modified
form_authoring.documentCertifiedAllowChanges4	exact	form_authoring	this document is certified to allow no changes, so setting a field description would produce a file that reports as illegally modified
form_authoring.documentCertifiedAllowChanges5	exact	form_authoring	this document is certified to allow no changes, so setting a field's writing mode would produce a file that reports as illegally modified
form_authoring.documentCertifiedAllowChanges6	exact	form_authoring	this document is certified to allow no changes, so redrawing an option list would produce a file that reports as illegally modified
form_authoring.documentFormFieldNamed	pattern	form_authoring	This document has no form field named "{{name}}".
form_authoring.documentSignedAddingForm	exact	form_authoring	this document is signed and adding form fields invalidates its signatures -- the run must state that signed documents are included before it will touch one
form_authoring.documentSignedRedrawingOption	exact	form_authoring	this document is signed and redrawing an option list invalidates its signatures -- the run must state that signed documents are included before it will touch one
form_authoring.documentSignedSettingField	exact	form_authoring	this document is signed and setting a field lock invalidates its signatures -- the run must state that signed documents are included before it will touch one
form_authoring.documentSignedSettingField2	exact	form_authoring	this document is signed and setting a field action invalidates its signatures -- the run must state that signed documents are included before it will touch one
form_authoring.documentSignedSettingField3	exact	form_authoring	this document is signed and setting a field description invalidates its signatures -- the run must state that signed documents are included before it will touch one
form_authoring.documentSignedSettingField4	exact	form_authoring	this document is signed and setting a field's writing mode invalidates its signatures -- the run must state that signed documents are included before it will touch one
form_authoring.fieldWritesVerticallyVertical	exact	form_authoring	this field writes vertically and no vertical font is available to state its metrics
form_authoring.formFieldSActions	pattern	form_authoring	this form field's actions cannot be set: {{text}}
form_authoring.formFieldSignatureField	pattern	form_authoring	Form field "{{name}}" is not a signature field, and only a signature field can lock form fields.
form_authoring.nameFormFieldWhose	exact	form_authoring	Name the form field whose actions are being set.
form_authoring.nameFormFieldWhose2	exact	form_authoring	Name the form field whose description is being set.
form_authoring.nameFormFieldsWhose	exact	form_authoring	Name the form fields whose writing mode is being set.
form_authoring.nameOptionListsWhose	exact	form_authoring	Name the option lists whose appearance is being drawn.
form_authoring.nameSignatureFieldWhose	exact	form_authoring	Name the signature field whose lock is being set.
form_authoring.signatureFieldAlreadySigned	pattern	form_authoring	Signature field "{{name}}" is already signed, so its field lock can no longer change. Its lock is part of what that signature covers.
form_authoring.theseFormFieldsCannot	pattern	form_authoring	these form fields cannot be created: {{joined}}
form_authoring.theseFormFieldsCannot2	pattern	form_authoring	these form fields cannot write vertically: {{joined}}
form_authoring.theseOptionListsCannot	pattern	form_authoring	these option lists cannot be drawn: {{joined}}
form_detect.cannotNameDetectedField	pattern	form_detect,form_prepare	cannot name the detected field {{base}}: too many fields already carry that name
form_detect.maxCandidatesMustPositive	exact	form_detect	max_candidates must be a positive number
form_detect.scanMustAutoNever	exact	form_detect	scan must be "auto", "never" or "always"
form_prepare.unknownFieldKindChoose	pattern	form_prepare	unknown field kind: {{v0}} (choose from {{v1}})
forms.acroformFieldTreeNested	exact	forms	AcroForm field tree nested too deeply
forms.couldnTRegenerateAppearance	pattern	forms	couldn't regenerate the appearance for {{v0}}: {{exc}}
forms.dynamicXmlFormXfa	pattern	forms	{{v0}} is a dynamic XML form (XFA): it builds its own pages from an XML template, so its fields cannot be filled here.
forms.fieldWritesVerticallyFallback	exact	forms	this field writes vertically and no fallback font is available
forms.formCarriesXmlForm	exact	forms	This form carries XML form data (XFA) with no datasets packet to write into, so filling it would store each value in the PDF field alone and leave the form's own data saying something else. No file was written.
forms.formSXmlData	exact	forms	This form's XML data (XFA) datasets packet cannot be read by this build, so a fill cannot keep it consistent with the PDF fields. No file was written.
forms.nameFormDataFile	exact	forms	Name the form-data file to import.
forms.nameFormFieldsShow	exact	forms	Name the form fields to show or hide.
forms.optionContainsCharactersAvailable	pattern	forms	option {{line}} contains characters no available font can render ({{pretty}})
forms.optionListWritesVertically	exact	forms	this option list writes vertically and no fallback font is available
forms.optionOutsideFormFont	pattern	forms	option {{line}} is outside the form font's encoding (WinAnsi) and no fallback font is available
forms.theseFieldsNodeForm	pattern	forms	These fields have no node in this form's XML data (XFA) and none could be created, so filling them would publish one value in the PDF field and another in the form: {{names}}. No file was written.
forms.unknownSubmissionFormatExpected	pattern	forms	unknown submission format {{fmt}}; expected one of {{v1}}
forms.valueContainsCharactersOutside	exact	forms	value contains characters outside the form font's encoding (WinAnsi)
glyph_outlines.fontProgramProducedCurve	exact	glyph_outlines	A font program produced a curve segment with an unexpected number of points.
glyph_outlines.fontProgramProducedQuadratic	exact	glyph_outlines	A font program produced a quadratic curve segment the outline emitter cannot place.
glyph_outlines.pageDrawsTextBundled	pattern	glyph_outlines	Page {{page}} draws text in {{name}}, and no bundled face can express one of its characters.
glyph_outlines.pageDrawsTextOne	pattern	glyph_outlines	Page {{page}} draws text in {{name}}, and one of its codes spells nothing a bundled face could be matched to.
glyph_outlines.pageDrawsTextThrough	pattern	glyph_outlines	Page {{page}} draws text in {{name}} through the encoding {{shown}}, which this engine cannot resolve to glyphs.
glyph_outlines.pageDrawsTextType	pattern	glyph_outlines	Page {{page}} draws text in the Type 3 font {{name}}, whose glyphs are content streams rather than outlines.
glyph_outlines.pageDrawsTextWhich	pattern	glyph_outlines	Page {{page}} draws text in {{name}}, which is not embedded in this document and no bundled face could stand in for it.
glyph_outlines.pageDrawsTextWhose	pattern	glyph_outlines	Page {{page}} draws text in {{name}}, whose embedded font program could not be read.
grayscale.ghostscriptGrayscaleConversionFailed	pattern	grayscale	Ghostscript grayscale conversion failed: {{v0}}
gs_capability.ghostscriptDidPassCapability	pattern	gs_capability	Ghostscript at {{v0}} did not pass its capability check ({{v1}}). Install Ghostscript from ghostscript.com, then set its path in Preferences > Engine.
gs_capability.ghostscriptOlderThanBuild	pattern	gs_capability	Ghostscript {{v0}} at {{v1}} is older than the {{v2}} this build requires. Install a newer Ghostscript from ghostscript.com, then set its path in Preferences > Engine.
